station,network,st_lat,st_lon,st_ele,mean_SNR_0,n_data,dt,phi,dt_error,phi_error,SC_fast,SC_lag,CC_fast,CC_lag
GRB5,GR,49.112131,11.676733,525.0,3.94392518251,20,1.29083163598,87.8082903656,0.00638949482819,0.244004931045,49.9,1.29,73.3,1.02
GRB3,GR,49.343542,11.805983,517.0,5.60291164318,15,1.65164438391,82.2388476179,0.158370585108,3.11403537267,104.7,1.66,93.2,0.65
A210A,Z3,48.8277,5.92254,622.0,3.3845114084,63,0.986229509577,60.3134784442,0.172789585959,3.4779739382,102.9,1.41,79.1,0.99
CTI,IV,46.04818,11.6497,1180.0,5.89801829937,30,1.50754863792,74.720266976,0.0692520229577,1.66634367498,1.7,2.79,43.3,1.02
TORNY,CH,46.77363,6.95874,710.0,5.17906962572,15,0.904204974231,53.4698806885,0.0277082494114,0.463034757149,60.2,1.82,24.5,0.79
A102A,Z3,48.140039,9.199346,684.0,5.99889321606,30,1.53605575431,60.1127387047,0.0888346647855,1.39568677875,103.6,1.08,16.1,0.79
EMBD,CH,46.21652,7.83223,1180.0,4.43187312212,30,2.47387461773,166.14583723,0.0383012257951,0.574576701314,12.5,2.95,163.5,2.92
GRA4,GR,49.565403,11.435871,503.0,5.67155794176,25,3.0,120.517282189,1.61180455557,8.61040885207,104.9,1.97,84.0,1.29
A148B,Z3,48.509432,12.47666,528.0,4.32438747734,75,1.41262556451,86.459613952,0.0767423206411,1.7540607004,42.7,1.61,43.3,0.9
CSNT,IV,43.47311,11.29017,636.0,2.63403553295,25,3.0,164.221698864,0.286247506671,1.46595508176,161.4,2.61,145.6,1.82
STAL,IV,46.2601,12.7104,625.0,4.68725278808,10,1.56292009959,76.0285785619,0.0115876993753,0.226706898517,23.9,1.25,34.4,1.05
A194A,Z3,44.3933,6.5023,1255.0,2.9860562277,100,1.46259494181,106.772113987,0.0656038686801,1.89124366777,157.1,0.91,97.2,0.87
A160A,Z3,47.6908,5.0502,465.0,2.73752013627,131,1.47602195391,2.87736553391,0.000786702027859,0.182742638614,108.05,2.65,154.05,0.85
A351B,Z3,50.0019,10.7612,339.0,3.01991899134,50,1.64350442084,126.551296986,0.180392403386,3.64337110522,45.3,2.92,79.5,1.92
MLN,OX,46.1495,12.6154,814.0,5.28195802404,23,1.58368743624,74.2655806529,0.2556140598,3.83171568141,13.2,2.88,76.0,2.88
MARN,OX,45.6378,11.2099,785.0,6.06826499922,25,1.39600683776,61.0335464746,0.0223356511498,0.353632579186,75.8,2.97,56.05,1.45
A121A,Z3,47.83542,7.72581,399.0,2.46783584159,80,2.89125696115,76.5351638238,0.0277739941986,0.0829798228642,58.9,0.68,32.0,1.16
A188A,Z3,44.6001,3.9367,1085.0,5.01165593399,95,0.949532514047,72.0150694138,0.0389209570996,0.867063127083,150.05,3.05,114.05,0.25
A199A,Z3,43.7438,3.6883,341.0,2.4105108553,117,1.14557013134,125.996464069,0.0404724102443,2.26302126781,140.0,1.8,94.9,1.47
A202A,Z3,43.5025,3.2602,212.0,3.83114886747,65,0.679006721497,103.555306707,0.00526167316367,0.365227256402,85.2,1.05,80.2,2.05
A024B,Z3,48.100199,14.139852,381.0,3.44214081697,105,0.730083331743,133.885466098,0.431856065002,14.4561009147,151.6,2.87,95.2,0.51
A208A,Z3,42.2326,8.7937,830.0,4.04228820286,80,0.831585486732,66.8452619547,0.725120036101,9.5950658123,80.1,1.86,72.5,2.88
MUO,CH,46.96765,8.63706,1920.0,2.49376286471,20,1.15609604797,52.7272581686,0.0054394474705,0.277718572493,18.7,1.26,50.2,1.19
HASLI,CH,46.75681,8.15117,1280.0,3.54604972709,25,1.32745207797,50.3339913705,0.152003815055,4.11926912714,169.2,1.7,15.9,1.25
CRE,IV,43.61888,11.95167,1215.0,3.85382212778,10,1.42496874286,9.00375085691,0.00280086809237,0.288607107265,149.5,1.62,152.0,1.65
A171A,Z3,46.2008,4.1125,378.0,2.01933382979,60,2.25195093218,145.384509965,0.081883032743,0.729407982689,130.05,3.05,80.05,2.65
MILB,GR,49.8284,9.2923,369.0,3.0502640583,25,3.0,118.113959295,0.414291344552,1.44819843053,3.9,2.99,152.2,1.41
A217A,Z3,44.3701,6.0733,1087.0,3.77699316568,67,2.68353019298,138.093508385,0.0509019314118,0.350282158238,14.4,2.93,174.5,2.89
A167A,Z3,46.7469,5.31951,203.0,7.17684908332,48,0.973280828604,133.404644174,0.00100204762624,0.368943967855,137.9,2.95,96.05,0.25
A180A,Z3,45.3113,4.0427,845.0,4.20995701232,53,2.54438438358,60.241989745,1.07551310679,3.38666084559,129.6,2.87,105.2,0.9
SATI,GU,45.8753,7.8685,3005.0,3.66434492267,20,2.10094266365,25.4571839135,0.000660773169466,0.00868927134384,124.3,2.98,65.4,0.34
SULZ,CH,47.52753,8.11187,668.0,4.1883844925,25,3.0,0.570139256362,0.0491350512005,0.339588760524,50.1,2.24,51.9,2.64
A281A,Z3,44.8534,7.7099,292.0,1.76670200552,29,3.0,165.65516171,0.52065429658,1.25233713152,134.0,1.29,122.6,1.19
A118B,Z3,49.344669,9.974411,461.0,4.66684624728,80,1.35307846858,88.4435873656,0.11865560929,2.34070836154,40.8,2.9,67.2,1.03
HVAR,CR,43.1776,16.4488,288.0,3.80861803007,80,0.605056048193,20.6329398142,0.110371844906,7.55902552702,151.8,1.46,9.9,0.45
A174A,Z3,45.9926,4.4619,625.0,2.07735296515,66,1.24792157101,155.623872892,0.715327944988,12.1575208158,119.7,0.53,111.5,0.53
FUSE,OX,46.4142,13.0011,520.0,3.98706748722,25,1.50783430693,79.7980314099,0.00834375582061,0.0917397682801,10.9,0.91,49.4,0.58
A128A,Z3,49.3986,8.59629,104.0,3.68204628676,60,2.1163811919,62.4226699207,0.0362254623997,0.141527424592,44.5,0.68,18.6,0.24
A181A,Z3,45.3805,6.302,1305.0,3.1090069348,70,1.79656709555,175.982187158,0.13876202291,1.81978234918,8.9,1.47,170.3,1.35
A156A,Z3,47.9467,4.5341,380.0,1.73231421732,55,1.70960760749,134.327952923,0.0932870173545,1.69855063371,122.8,2.37,122.05,2.45
A177A,Z3,45.5963,4.6086,520.0,4.63480183497,60,1.14585932161,68.2007498918,inf,inf,0.05,0.05,0.05,0.05
A107C,Z3,48.019394,10.199769,667.0,4.43840792685,15,1.29013950681,39.4840967529,0.163982497151,3.75638548527,20.0,1.64,25.7,1.25
A127A,Z3,49.19668,7.97808,442.0,2.70635921225,45,1.0037375678,78.001146504,0.236374786988,11.4354502553,117.6,2.81,91.3,1.28
A186B,Z3,44.793,5.5892,978.0,6.08708256551,25,2.55225124996,152.622731359,0.17314945218,0.495616126832,80.05,1.65,106.05,0.65
A182A,Z3,44.9695,2.8069,880.0,2.21498592435,45,1.38113979073,64.7568224962,0.0490371895227,0.300400172701,139.7,1.2,104.2,0.25
A169A,Z3,46.5963,4.58183,300.0,2.40546305347,35,1.37414686547,152.289609966,0.00151137759754,0.344638540941,113.2,0.65,126.2,0.65
NDIM,IV,44.8873,10.8987,19.0,3.88032118461,35,1.4562928629,5.24485646104,0.000913853230184,0.341571648707,0.05,0.05,0.05,0.05
A060B,Z3,46.993,7.97764,1049.1,8.3252769902,70,0.998400094461,57.5822873306,0.331706339327,6.31820104037,62.3,2.93,37.7,0.71
PURA,NI,46.4258,12.7419,1417.0,2.57919713016,15,,,,,,,,
A153A,Z3,48.318,4.7968,238.0,2.54913961831,79,0.932844705848,78.7686235349,0.2749635781,4.71243418213,139.0,0.53,89.5,0.53
