CC_fast,CC_lag,SC_fast,SC_lag,dt,dt_error,mean_SNR_0,n_data,network,phi,phi_error,st_ele,st_lat,st_lon,station
56.2,1.9,101.7,2.3,1.66945359825,0.0945822028898,8.67271336947,97,OX,81.5611255074,1.89339291899,635.0,46.4569,12.8814,CLUD
104.05,1.05,82.6,1.23,1.6941187907,0.288521138702,5.15492708329,86,RF,67.1113982414,5.91679334856,255.0,46.275,13.1386,GEPF
20.8,1.44,14.5,2.69,1.5856052846,0.088449950782,6.23803761424,108,OX,68.9289051869,1.35248741223,710.0,46.3116,12.4448,CIMO
76.5,1.94,77.5,2.0,3.0,5.23339738648,5.65766593517,75,Z3,28.8463602414,19.8392952253,841.0,48.65387,8.4941,A124A
112.6,0.53,147.9,2.05,0.274677627336,0.884976376219,10.7367951335,54,Z3,132.485852391,66.6288779845,174.0,46.744449,18.965496,A272A
0.05,0.05,0.05,0.05,2.28480857866,inf,6.84100930141,95,CZ,106.260983409,inf,545.0,49.914,14.787,GOPC
115.7,2.16,91.6,1.81,2.5210950522,0.483260919941,11.1660717771,135,Z3,129.266185794,5.67560939518,35.0,43.049999,9.842445,A317A
16.4,1.21,152.05,3.05,1.47684643877,0.0174527354928,8.94436579656,50,Z3,177.221572615,0.950646803744,420.0,45.1209,5.0728,A185A
112.5,0.69,83.2,1.44,0.962729941606,0.138840779512,9.40182786038,135,OX,50.6939357329,5.05378014093,762.0,46.2408,12.9877,MPRI
72.2,1.35,45.5,1.47,1.80448932603,0.0638311021931,6.87375126883,96,OX,81.0837385221,1.19659859878,1911.0,46.5584,12.9729,ZOU2
,,,,,,9.55377902884,40,IV,,,610.0,44.05428,11.35855,SEI
79.0,2.79,12.2,1.64,1.70876141972,0.0991854455141,11.8891567456,20,CH,48.3931927947,1.72067194469,908.0,47.41465,8.90753,WILA
16.2,2.21,29.7,2.62,2.32975952192,0.06620336094,4.44854988149,75,GU,15.2292458421,0.0203390234052,638.0,44.2075,8.2372,CANO
0.05,0.05,0.05,0.05,1.4293747689,0.0225532121852,26.6027073202,30,Z3,96.3462201055,0.192734747944,195.0,45.238,8.2885,A283B
48.0,1.98,41.5,1.67,1.80208565655,0.0220986238587,9.36333562154,25,CH,51.423843698,0.719602504618,1746.0,46.578146,8.318864,GRIMS
157.9,0.88,160.2,2.05,0.949336454206,0.0318490502475,11.4774334246,20,CH,46.5667355895,0.842672113434,924.0,45.92184,9.04171,MUGIO
139.5,1.02,87.2,2.93,2.49133555649,0.0122034578663,80.6740489081,110,GU,96.9045246747,0.0787285560372,235.0,44.4712,8.9512,RNCA
35.6,0.96,72.9,1.63,1.60509600468,0.138664391029,10.7425731794,134,Z3,72.5202698552,3.3571377727,364.0,49.34262,7.74195,A129A
